employee_id,name,department,salary_level,actual_salary,turnover,satisfaction,evaluation,project_count,average_monthly_hours,years_at_company,work_accident,promotion,last_updated
45413,孙淑华,研发部,high,183000,0,0.58,0.42,3,265,6,1,0,2025-05-02 12:05:41
29453,毕鹏,人力资源部,low,230000,0,0.7,0.95,4,110,1,0,0,2025-05-02 12:05:41
28637,董淑珍,人力资源部,low,283000,0,0.75,0.54,3,139,4,0,0,2025-05-02 12:05:41
80049,刘红,销售部,low,486000,0,0.85,0.83,5,275,4,0,0,2025-05-02 12:05:41
7483,贺秀珍,研发部,low,284000,0,0.98,0.99,3,128,1,0,0,2025-05-02 12:05:41
84174,杨平,研发部,medium,543000,0,0.78,0.4,6,270,1,0,0,2025-05-02 12:05:41
21977,陈超,人力资源部,high,254000,0,0.89,0.6,1,99,4,0,0,2025-05-02 12:05:41
74469,王宇,市场部,low,326000,0,0.76,0.86,4,262,2,0,0,2025-05-02 12:05:41
85595,兰斌,研发部,medium,196000,0,0.51,0.93,4,109,0,0,0,2025-05-02 12:05:41
82305,陈志强,行政部,low,258000,0,0.52,0.96,4,130,2,0,0,2025-05-02 12:05:41
26441,姚刚,销售部,low,241000,0,0.79,0.58,5,112,2,0,0,2025-05-02 12:05:41
8858,檀健,销售部,medium,439000,0,0.85,0.46,3,116,2,0,0,2025-05-02 12:05:41
32070,聂宁,研发部,low,404000,0,0.6,0.44,3,265,0,0,0,2025-05-02 12:05:41
53217,郭红,销售部,medium,469000,0,0.6,0.8,3,266,5,1,0,2025-05-02 12:05:41
51007,赵婷,行政部,low,152000,0,0.52,0.82,4,269,3,0,0,2025-05-02 12:05:41
34994,赵浩,研发部,high,247000,0,0.8,0.93,3,280,4,0,0,2025-05-02 12:05:41
97471,滕涛,市场部,low,141000,0,0.89,0.83,3,257,7,0,0,2025-05-02 12:05:41
58911,陈秀英,市场部,low,348000,0,0.93,0.82,5,128,1,0,0,2025-05-02 12:05:41
54315,庄想,销售部,medium,428000,0,0.85,0.96,2,260,4,0,0,2025-05-02 12:05:41
12585,张红霞,销售部,medium,378000,0,0.77,0.45,5,131,3,0,0,2025-05-02 12:05:41
17435,徐阳,销售部,medium,199000,0,0.8,0.9,3,98,4,1,0,2025-05-02 12:05:41
99524,陈建华,人力资源部,low,127000,0,0.66,0.43,3,101,2,0,0,2025-05-02 12:05:41
88310,苏志强,销售部,low,203000,0,0.8,0.58,5,107,1,0,0,2025-05-02 12:05:41
90108,范志强,研发部,medium,235000,0,0.69,0.48,3,277,4,0,0,2025-05-02 12:05:41
28931,朱莉,行政部,medium,292000,0,0.9,0.43,4,131,2,0,0,2025-05-02 12:05:41
50210,田婷婷,市场部,low,150000,0,0.78,0.54,4,122,3,0,0,2025-05-02 12:05:41
16965,张璐,研发部,medium,513000,0,0.82,0.87,4,273,1,0,1,2025-05-02 12:05:41
73199,王海燕,市场部,medium,186000,0,0.92,0.53,6,132,5,0,0,2025-05-02 12:05:41
66996,黄红梅,行政部,low,164000,0,0.49,0.55,3,264,4,0,0,2025-05-02 12:05:41
51140,潘桂荣,市场部,low,238000,0,0.82,0.46,4,124,4,0,0,2025-05-02 12:05:41
58721,何平,市场部,low,127000,0,0.43,0.82,5,267,7,0,0,2025-05-02 12:05:41
37435,林玉,销售部,medium,325000,0,0.73,0.52,0,120,4,1,0,2025-05-02 12:05:41
50240,梁秀英,销售部,medium,177000,0,0.39,0.95,3,278,4,0,0,2025-05-02 12:05:41
49956,余桂芳,销售部,low,308000,0,0.69,0.96,2,104,2,1,0,2025-05-02 12:05:41
86883,覃玲,研发部,high,227000,0,0.77,0.42,2,101,3,0,0,2025-05-02 12:05:41
10179,宋坤,行政部,medium,160000,0,0.59,0.92,2,263,0,0,0,2025-05-02 12:05:41
50798,陈霞,人力资源部,medium,239000,0,0.87,0.54,3,252,1,0,0,2025-05-02 12:05:41
34023,林峰,研发部,medium,408000,0,0.76,0.88,2,129,1,0,0,2025-05-02 12:05:41
85863,舒秀珍,行政部,medium,191000,0,0.73,0.82,3,260,3,0,0,2025-05-02 12:05:41
62723,梁磊,市场部,low,212000,0,0.79,0.85,3,263,1,0,0,2025-05-02 12:05:41
39681,高晨,销售部,low,418000,0,0.61,0.92,5,277,1,0,0,2025-05-02 12:05:41
