employee_id,name,department,salary_level,actual_salary,turnover,satisfaction,evaluation,project_count,average_monthly_hours,years_at_company,hire_date,termination_date,work_accident,promotion,last_updated
15592,Laura Schultz,Engineering,low,495000,0,0.74,0.42,3,121,4,2021-05-21,,0,0,2025-05-10 19:07:25
4278,Nicole Stevenson,Legal,low,370000,0,0.87,0.97,3,254,3,2022-06-07,,0,0,2025-05-10 19:07:25
98196,Sarah Tran,Sales,low,353000,0,0.66,0.86,4,265,3,2022-01-17,,0,0,2025-05-10 19:07:25
37048,Edward Lucas,Sales,medium,336000,0,0.2,0.51,4,267,1,2024-08-06,,0,0,2025-05-10 19:07:25
33098,Connor Phillips,Operations,low,187000,0,0.83,0.46,3,276,1,2024-04-11,,0,0,2025-05-10 19:07:25
30256,Janet Washington,Marketing,low,198000,0,0.74,0.96,4,134,1,2024-03-06,,0,0,2025-05-10 19:07:25
19289,Dawn Wright,Operations,medium,294000,0,0.34,0.96,4,147,3,2022-02-06,,0,0,2025-05-10 19:07:25
97530,Mr. Frederick Mccann III,Sales,low,490000,0,0.78,0.53,2,137,1,2023-11-26,,0,0,2025-05-10 19:07:25
14434,Jeffrey Morgan,Marketing,medium,174000,0,0.78,0.45,4,266,3,2022-01-26,,0,0,2025-05-10 19:07:25
89696,Haley Dunn,Marketing,low,421000,0,0.82,0.83,2,265,4,2021-09-15,,0,0,2025-05-10 19:07:25
98080,Mark Evans,Sales,medium,222000,0,0.92,0.47,2,266,3,2022-03-05,,0,0,2025-05-10 19:07:25
72482,Jennifer Moon MD,Engineering,low,214000,0,0.61,0.56,4,150,5,2020-05-16,,0,0,2025-05-10 19:07:25
12395,Dr. Nicholas Gibson MD,Sales,high,274000,0,0.83,0.91,3,123,2,2023-03-16,,0,0,2025-05-10 19:07:25
78397,Andrea Leach,Sales,medium,371000,0,0.83,0.55,4,264,5,2020-01-09,,0,1,2025-05-10 19:07:25
56302,Maria Johnson,Sales,low,182000,0,0.52,0.96,4,261,1,2024-05-24,,0,0,2025-05-10 19:07:25
5165,Ryan Conrad,Engineering,low,507000,0,0.77,0.48,3,103,7,2018-05-14,,0,0,2025-05-10 19:07:25
4905,Jessica Nelson,Sales,medium,302000,0,0.92,0.92,3,260,3,2022-09-08,,0,0,2025-05-10 19:07:25
13280,Lance Dawson,Marketing,low,318000,0,0.84,0.43,5,107,4,2021-03-03,,0,0,2025-05-10 19:07:25
29657,Justin Wilson,Engineering,high,464000,0,0.71,0.46,7,149,0,2025-03-21,,0,0,2025-05-10 19:07:25
31495,Joy Howard,Operations,low,179000,0,0.64,0.99,3,265,4,2021-04-12,,0,0,2025-05-10 19:07:25
67237,Mrs. Kathryn Gordon,HR,low,142000,0,0.6,0.96,1,98,6,2019-06-21,,0,0,2025-05-10 19:07:25
79907,Ralph Hunt,HR,medium,157000,1,0.17,0.85,6,274,1,2024-07-18,2025-02-09,0,0,2025-05-10 19:07:25
4478,Jessica Ellison,Sales,low,484000,0,0.5,0.86,2,264,5,2020-06-26,,0,0,2025-05-10 19:07:25
74563,Daniel Franklin,Marketing,high,241000,0,0.82,0.55,3,277,8,2016-12-31,,0,0,2025-05-10 19:07:25
27062,Tony Carr,Sales,low,255000,0,0.56,0.91,4,269,4,2021-02-05,,1,0,2025-05-10 19:07:25
94850,Karen Stevenson,Sales,medium,413000,0,0.91,0.94,4,144,5,2020-04-11,,0,0,2025-05-10 19:07:25
86181,Rebecca Young,Legal,low,314000,1,0.44,0.95,2,286,3,2013-06-16,2016-11-05,0,0,2025-05-10 19:07:25
92924,Karen Peterson,Marketing,medium,262000,1,0.5,0.98,4,287,7,2009-08-01,2016-02-02,0,0,2025-05-10 19:07:25
72426,Sara Spencer,Sales,high,475000,0,0.9,0.87,5,130,1,2024-04-17,,0,0,2025-05-10 19:07:25
55987,Casey Ellis,Sales,low,295000,0,0.69,0.52,5,265,9,2016-05-17,,0,0,2025-05-10 19:07:25
29893,Paul Martinez,Sales,medium,385000,0,0.51,0.59,4,125,2,2023-11-07,,0,0,2025-05-10 19:07:25
59878,Robert Stewart,Operations,high,234000,0,0.74,0.59,3,137,1,2024-05-06,,0,0,2025-05-10 19:07:25
78236,Ian Molina,Operations,low,282000,0,0.87,0.95,4,263,5,2019-12-08,,1,0,2025-05-10 19:07:25
37463,Amy Jensen,Sales,low,453000,0,0.54,0.54,5,140,0,2025-05-15,,0,0,2025-05-10 19:07:25
1851,Robert Nguyen,Marketing,low,156000,0,0.68,0.42,4,253,3,2022-05-31,,0,0,2025-05-10 19:07:25
21926,Jason Rhodes,Marketing,medium,188000,0,0.59,0.94,5,132,4,2021-11-03,,0,0,2025-05-10 19:07:25
92506,Craig Thomas,Marketing,low,197000,0,0.57,0.92,3,109,5,2020-09-24,,0,0,2025-05-10 19:07:25
56392,Edward Cruz,Sales,high,311000,1,0.58,0.85,4,288,2,2020-04-07,2022-08-12,0,0,2025-05-10 19:07:25
45597,Teresa Park,Operations,low,340000,1,0.15,0.48,2,257,5,2009-05-28,2014-08-08,0,0,2025-05-10 19:07:25
37421,Alex Chan III,Engineering,low,186000,0,0.69,0.99,3,149,4,2021-01-20,,0,0,2025-05-10 19:07:25
21379,Daniel Boone,Sales,low,187000,0,0.51,0.41,4,98,4,2021-10-08,,0,0,2025-05-10 19:07:25
29221,Anthony Michael,Sales,medium,362000,0,0.73,0.48,5,267,5,2019-12-28,,1,0,2025-05-10 19:07:25
45118,Heather Palmer,Sales,high,229000,0,0.76,0.88,5,276,7,2017-12-11,,0,0,2025-05-10 19:07:25
14396,Elizabeth Sparks,Engineering,medium,302000,0,0.44,0.42,1,125,1,2023-12-29,,0,0,2025-05-10 19:07:25
13156,Taylor Reilly,Engineering,medium,241000,0,0.95,0.43,5,127,2,2023-05-14,,0,0,2025-05-10 19:07:25
50797,Katie Ferrell,Engineering,low,244000,0,0.63,0.97,3,253,0,2025-10-22,,0,0,2025-05-10 19:07:25
13676,Erica Bailey,Engineering,low,475000,0,0.63,0.9,6,251,3,2022-02-25,,0,0,2025-05-10 19:07:25
48052,Margaret Aguilar,Sales,medium,443000,0,0.78,0.82,4,250,4,2021-10-16,,0,1,2025-05-10 19:07:25
46082,Claudia Fernandez,Sales,high,241000,1,0.15,0.97,5,263,4,2018-05-07,2022-03-01,0,0,2025-05-10 19:07:25
80131,Sharon Coleman,Engineering,low,219000,0,0.51,0.82,1,251,3,2022-08-08,,0,0,2025-05-10 19:07:25
35671,Brian Browning,Sales,medium,294000,1,0.1,0.86,7,262,1,2022-01-29,2022-12-29,0,0,2025-05-10 19:07:25
6695,James Nelson,Engineering,low,482000,0,0.69,1.0,5,273,2,2023-02-01,,0,0,2025-05-10 19:07:25
96647,Russell Martin,Sales,low,269000,0,0.56,0.93,3,250,3,2022-05-20,,1,0,2025-05-10 19:07:25
61217,Maureen Dodson,HR,medium,153000,0,0.64,0.6,2,99,1,2024-08-26,,0,0,2025-05-10 19:07:25
71284,Sheryl Becker,Operations,medium,346000,0,0.7,0.58,2,143,0,2025-09-24,,0,0,2025-05-10 19:07:25
17361,Amy Barry,Engineering,low,483000,0,0.82,0.89,4,257,2,2023-06-11,,0,0,2025-05-10 19:07:25
50615,Barbara Smith,HR,medium,267000,0,0.64,0.45,5,108,1,2024-08-29,,0,0,2025-05-10 19:07:25
11328,Chelsea Mills,Sales,low,388000,0,0.67,0.42,5,145,2,2023-07-24,,0,0,2025-05-10 19:07:25
73357,Tonya Smith,Legal,low,305000,0,0.69,0.94,5,149,2,2023-05-24,,1,0,2025-05-10 19:07:25
39427,Joshua Allen,Operations,low,105000,0,0.65,0.85,4,250,5,2020-04-14,,0,0,2025-05-10 19:07:25
83397,Brenda Martin,Engineering,low,232000,0,0.76,0.83,3,149,3,2022-07-17,,1,0,2025-05-10 19:07:25
82070,Donna Wood,Marketing,medium,450000,0,0.77,0.52,7,252,9,2016-10-28,,0,0,2025-05-10 19:07:25
48400,Heather Mills,Engineering,high,594000,1,0.2,0.41,1,286,2,2014-10-12,2016-11-21,0,0,2025-05-10 19:07:25
76674,Maria Frye,Sales,medium,238000,0,0.68,0.58,6,124,1,2024-08-22,,1,0,2025-05-10 19:07:25
26203,Karen Fitzgerald,Sales,low,431000,1,0.28,0.42,7,306,4,2016-05-18,2020-08-14,0,0,2025-05-10 19:07:25
93349,Rodney Lee,Engineering,low,375000,0,0.84,0.87,3,265,5,2020-05-15,,0,0,2025-05-10 19:07:25
10116,Ashley Smith,Marketing,low,232000,1,0.5,0.56,7,299,1,2016-09-16,2018-01-13,0,0,2025-05-10 19:07:25
7006,Jake Watkins,Sales,medium,286000,0,0.71,0.96,3,274,6,2019-07-19,,0,0,2025-05-10 19:07:25
87673,Christina Blake,Marketing,low,282000,1,0.58,0.94,4,294,3,2014-11-25,2017-11-24,0,0,2025-05-10 19:07:25
30871,Scott Ross,Engineering,low,594000,0,0.63,0.9,3,127,0,2025-10-18,,1,0,2025-05-10 19:07:25
38930,Christine Martinez,Sales,low,464000,1,0.22,0.43,2,260,1,2024-02-18,2024-09-20,1,0,2025-05-10 19:07:25
11458,Julia Smith,Operations,medium,349000,0,0.59,0.99,5,138,2,2023-04-19,,0,0,2025-05-10 19:07:25
31512,Steven Evans,Marketing,high,343000,0,0.81,0.99,3,255,0,2025-01-23,,0,0,2025-05-10 19:07:25
14238,John Martin,HR,low,189000,0,0.5,0.55,0,107,7,2018-11-08,,0,0,2025-05-10 19:07:25
50823,Jonathan Obrien,Marketing,high,410000,0,0.72,0.52,2,280,2,2022-12-29,,0,0,2025-05-10 19:07:25
37434,Amanda Le,Operations,low,119000,0,0.57,0.6,3,101,4,2020-11-29,,0,0,2025-05-10 19:07:25
60429,Robert Bailey,Marketing,low,247000,0,0.57,0.87,3,273,1,2024-11-06,,1,0,2025-05-10 19:07:25
84320,Sarah Mcclure,Marketing,low,331000,0,0.6,0.48,3,253,3,2022-03-07,,0,0,2025-05-10 19:07:25
48819,Dr. Christopher Coleman,HR,low,331000,0,0.54,0.57,7,116,2,2023-06-27,,0,0,2025-05-10 19:07:25
22319,Michael Wilson,Sales,low,188000,0,0.87,0.98,4,134,2,2022-12-28,,0,0,2025-05-10 19:07:25
49520,Michael Henson,Marketing,medium,430000,0,0.59,0.83,2,109,3,2022-08-02,,0,0,2025-05-10 19:07:25
47566,Sandra Lee,Operations,medium,224000,0,0.82,0.42,6,131,1,2024-02-29,,1,0,2025-05-10 19:07:25
