employee_id,name,department,salary_level,actual_salary,turnover,satisfaction,evaluation,project_count,average_monthly_hours,years_at_company,hire_date,termination_date,work_accident,promotion,last_updated
84810,Stacey Peck,Engineering,medium,576000,0,0.4,0.93,3,108,1,2023-12-07,,0,0,2025-05-11 17:26:42
15592,Matthew Johnson,Sales,medium,411000,0,0.28,0.22,7,166,2,2023-05-08,,0,1,2025-05-11 17:26:42
4278,Brooke Rodriguez,Sales,high,354000,0,0.42,0.48,3,266,1,2024-10-31,,0,0,2025-05-11 17:26:42
98196,Carly Estrada,Sales,low,436000,0,0.19,0.87,4,258,0,2025-07-15,,0,0,2025-05-11 17:26:42
37048,Robin Turner,Operations,medium,213000,0,0.42,0.03,3,199,1,2024-06-10,,0,0,2025-05-11 17:26:42
33098,Scott Hernandez,Engineering,low,455000,0,0.14,0.91,4,280,2,2023-04-29,,0,0,2025-05-11 17:26:42
30256,Mrs. Nicole Price DDS,HR,high,334000,0,0.2,0.65,6,247,1,2024-09-09,,0,0,2025-05-11 17:26:42
19289,Angela Ferguson,HR,low,217000,0,0.59,0.81,2,180,4,2021-11-04,,0,0,2025-05-11 17:26:42
97530,Kathryn Webb,Sales,low,325000,0,0.25,0.59,2,118,2,2023-07-20,,0,0,2025-05-11 17:26:42
14434,Jennifer Robbins,Operations,medium,177000,0,0.45,0.44,3,277,0,2025-06-25,,0,0,2025-05-11 17:26:42
89696,Kenneth Thornton,Sales,medium,229000,0,0.96,0.34,2,237,5,2020-03-01,,0,0,2025-05-11 17:26:42
98080,Lynn Mooney,Engineering,low,426000,0,0.85,0.6,2,257,1,2024-01-18,,0,0,2025-05-11 17:26:42
72482,Emily Stevens,Operations,high,223000,0,0.39,0.55,4,129,5,2020-04-06,,0,0,2025-05-11 17:26:42
12395,Samantha Matthews,Engineering,low,531000,0,0.33,0.89,2,129,1,2024-03-17,,0,1,2025-05-11 17:26:42
78397,Jerome Evans,Engineering,low,231000,0,0.15,0.52,4,131,3,2022-06-27,,0,0,2025-05-11 17:26:42
56302,Jeffrey Lopez,Engineering,low,435000,0,0.4,0.48,6,261,1,2024-04-16,,0,0,2025-05-11 17:26:42
5165,John Jenkins,Sales,medium,267000,0,0.16,0.94,4,267,2,2023-04-01,,0,0,2025-05-11 17:26:42
4905,Holly Patel,HR,medium,342000,0,0.34,0.84,3,150,0,2024-12-20,,0,0,2025-05-11 17:26:42
13280,Shawn Colon,HR,low,387000,0,0.21,0.81,3,106,2,2023-10-09,,0,0,2025-05-11 17:26:42
29657,Steven Clark,HR,low,271000,0,0.26,0.47,4,275,1,2024-06-29,,0,0,2025-05-11 17:26:42
31495,Ashley Bonilla,Marketing,medium,430000,0,0.28,0.52,4,255,1,2024-06-15,,0,0,2025-05-11 17:26:42
67237,Shari Hawkins,Marketing,medium,160000,0,0.23,0.29,2,199,3,2022-08-15,,0,0,2025-05-11 17:26:42
79907,Matthew Foster,Marketing,medium,327000,0,0.17,0.81,2,110,0,2025-05-31,,0,0,2025-05-11 17:26:42
4478,Jeffrey Arroyo,Sales,medium,288000,0,0.36,0.96,3,273,2,2023-01-12,,0,0,2025-05-11 17:26:42
74563,Richard Marquez,Sales,medium,214000,0,0.24,0.93,2,272,1,2024-09-28,,0,0,2025-05-11 17:26:42
27062,Frank Russell,Sales,high,392000,0,0.24,0.81,2,144,4,2021-09-27,,1,0,2025-05-11 17:26:42
94850,Michelle Gamble,Sales,high,349000,0,0.36,0.67,7,305,4,2021-09-05,,1,0,2025-05-11 17:26:42
86181,Timothy Booth,Sales,medium,316000,0,0.63,0.53,3,181,5,2020-06-22,,0,0,2025-05-11 17:26:42
92924,Gina Le,Operations,medium,313000,0,0.24,0.93,3,266,3,2021-12-16,,0,0,2025-05-11 17:26:42
72426,Karen Campbell,Marketing,medium,165000,0,0.93,0.69,3,223,1,2024-11-02,,1,0,2025-05-11 17:26:42
55987,Daisy Berger,HR,low,340000,0,0.14,0.94,3,144,2,2023-03-09,,0,0,2025-05-11 17:26:42
29893,Tanya Wright,HR,medium,103000,0,0.24,0.84,3,263,10,2015-04-22,,0,0,2025-05-11 17:26:42
59878,Brian Bishop,Engineering,medium,292000,0,0.03,0.32,4,156,1,2023-12-30,,0,0,2025-05-11 17:26:42
78236,Billy Cole,Sales,medium,287000,0,0.94,0.88,4,194,1,2024-09-12,,0,0,2025-05-11 17:26:42
37463,Kevin Nunez,Sales,medium,246000,0,0.13,0.43,7,250,3,2022-08-05,,0,0,2025-05-11 17:26:42
1851,Scott Ayala,Sales,low,154000,0,0.25,0.43,5,117,3,2022-04-07,,0,0,2025-05-11 17:26:42
21926,Jason Reynolds,Operations,low,96000,0,0.38,0.57,3,251,3,2022-06-25,,0,0,2025-05-11 17:26:42
92506,Karen Santiago,Marketing,low,248000,0,0.65,0.97,2,145,3,2022-07-04,,0,0,2025-05-11 17:26:42
56392,Carlos Hernandez,Sales,high,251000,0,0.25,0.56,4,289,8,2017-03-12,,0,0,2025-05-11 17:26:42
45597,Michael Jackson,Operations,low,101000,0,0.1,0.91,4,126,8,2016-12-18,,0,0,2025-05-11 17:26:42
37421,Kathy Bowers,Sales,medium,207000,0,0.1,0.49,4,146,5,2020-06-20,,0,0,2025-05-11 17:26:42
21379,Andrew Perkins,Sales,high,447000,0,0.22,0.9,2,261,3,2022-09-24,,0,0,2025-05-11 17:26:42
29221,Lynn King,Engineering,low,568000,0,0.58,0.81,5,272,4,2021-02-07,,0,0,2025-05-11 17:26:42
45118,Gregory Johnson,Sales,high,480000,0,0.49,0.76,2,179,1,2024-10-28,,0,0,2025-05-11 17:26:42
14396,Sara Lynch,Sales,medium,398000,0,0.26,0.91,2,265,1,2024-08-02,,0,0,2025-05-11 17:26:42
13156,Trevor Castro,Marketing,low,426000,0,0.35,0.91,2,105,1,2024-03-22,,0,0,2025-05-11 17:26:42
