employee_id,name,department,salary_level,actual_salary,left,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,Work_accident,promotion_last_5years,hire_date,termination_date,turnover_probability,last_updated
84810,Steven Oneal,sales,low,134000,1,0.39,0.9,3,198.0,2,0,0,2005-05-26,2014-03-13,0.538,2025-05-16 13:01:12
15592,Joseph Day,marketing,medium,250000,1,0.48,0.64,2,163.0,3,0,0,2005-01-23,2024-06-16,0.288,2025-05-16 13:01:12
4278,Cheryl Nichols,management,low,86000,1,0.5,0.8,4,186.0,4,0,0,2005-07-22,2018-08-09,0.238,2025-05-16 13:01:12
98196,Natasha Chaney,sales,low,115000,1,0.31,0.8,4,216.0,3,0,0,2005-05-11,2025-12-03,0.538,2025-05-16 13:01:12
37048,Sara Scott,technical,medium,184000,1,0.5,0.69,7,293.0,3,0,0,2005-04-22,2018-12-28,0.788,2025-05-16 13:01:12
33098,Stephen Clayton,hr,medium,203000,1,0.75,0.07,6,267.0,3,0,0,2005-07-21,2006-03-28,0.738,2025-05-16 13:01:12
30256,Antonio Glover,sales,medium,210000,1,0.56,0.75,5,209.0,5,0,0,2005-08-16,2021-06-17,0.188,2025-05-16 13:01:12
19289,Rhonda Cohen,IT,medium,233000,1,0.45,0.91,2,214.0,3,0,0,2005-10-18,2014-04-22,0.338,2025-05-16 13:01:12
97530,Marisa Cabrera,support,low,87000,1,0.83,0.84,2,144.0,3,0,0,2005-12-26,2024-05-11,0.088,2025-05-16 13:01:12
14434,Katelyn Williamson,sales,medium,172000,1,0.39,0.83,3,174.0,3,0,0,2005-01-15,2022-04-09,0.538,2025-05-16 13:01:12
89696,Alexander Martin,technical,medium,184000,1,0.08,0.34,4,299.0,4,0,0,2005-08-05,2025-10-11,1.0,2025-05-16 13:01:12
98080,Gregory Delacruz,support,low,124000,1,0.41,0.74,4,247.0,4,0,1,2005-07-05,2025-06-18,0.0,2025-05-16 13:01:12
72482,Anthony Gardner,sales,low,123000,1,0.6,0.9,4,181.0,4,1,0,2005-09-04,2023-05-07,0.088,2025-05-16 13:01:12
12395,Christina Carr,IT,medium,160000,1,0.19,0.35,7,235.0,3,0,0,2005-08-20,2017-06-07,1.0,2025-05-16 13:01:12
78397,Jessica Patterson,support,low,138000,1,0.22,0.12,2,279.0,2,0,0,2005-03-13,2018-06-06,0.9380000000000001,2025-05-16 13:01:12
56302,Stuart Davis,technical,medium,217000,1,0.26,0.15,4,242.0,4,0,0,2005-09-12,2024-08-08,0.638,2025-05-16 13:01:12
5165,Jason Bond,sales,medium,230000,1,0.53,0.96,3,174.0,3,0,0,2005-01-26,2020-10-27,0.238,2025-05-16 13:01:12
4905,Jermaine Pratt,RandD,low,84000,1,0.35,0.93,4,252.0,3,0,0,2005-11-08,2019-12-15,0.938,2025-05-16 13:01:12
13280,Heather Moses,technical,low,97000,1,0.46,0.8,6,250.0,3,0,0,2005-05-13,2019-02-27,0.638,2025-05-16 13:01:12
29657,Monica Brown,product_mng,medium,162000,1,0.57,0.19,7,301.0,5,0,0,2005-03-25,2019-07-09,0.9380000000000001,2025-05-16 13:01:12
31495,Tony Huff,marketing,low,87000,1,0.53,0.95,3,221.0,3,0,0,2005-03-01,2023-10-20,0.438,2025-05-16 13:01:12
67237,Ebony Johnson,hr,medium,157000,1,0.5,0.33,5,226.0,3,1,0,2005-02-14,2010-12-16,0.18799999999999997,2025-05-16 13:01:12
79907,Elizabeth Adams MD,RandD,medium,179000,1,0.2,0.89,6,244.0,3,0,0,2005-12-24,2022-07-15,1.0,2025-05-16 13:01:12
4478,David Jacobson,marketing,high,338000,1,0.44,0.73,6,209.0,4,0,0,2005-09-02,2018-05-17,0.588,2025-05-16 13:01:12
74563,Darius Lopez,sales,low,150000,1,0.21,1.0,7,210.0,2,0,0,2005-01-28,2007-11-05,0.938,2025-05-16 13:01:12
27062,Nicole Mendoza,marketing,low,88000,1,0.24,0.88,3,213.0,2,0,0,2005-08-06,2013-10-20,0.538,2025-05-16 13:01:12
94850,Sandra Best,sales,medium,205000,1,0.07,0.37,4,248.0,4,0,0,2005-04-21,2019-05-08,0.838,2025-05-16 13:01:12
86181,Samuel Harris,sales,high,414000,1,0.2,0.88,4,196.0,2,1,0,2005-08-16,2017-02-22,0.388,2025-05-16 13:01:12
