employee_id,name,department,salary_level,actual_salary,turnover,satisfaction,evaluation,project_count,average_monthly_hours,years_at_company,hire_date,termination_date,work_accident,promotion,last_updated
15592,Jason Perez,Operations,low,340000,0,0.74,0.6,3,280,4,2021-10-22,,1,0,2025-05-08 17:43:32
4278,Dana Foley,Sales,high,285000,0,0.87,0.52,3,146,3,2022-05-29,,0,0,2025-05-08 17:43:32
98196,Mark Prince,Sales,medium,247000,0,0.66,0.54,4,147,3,2022-02-03,,0,0,2025-05-08 17:43:32
37048,Jonathan Spence,Engineering,low,400000,0,0.2,0.53,4,116,1,2023-12-01,,0,0,2025-05-08 17:43:32
33098,Robert Harrison,Marketing,low,329000,0,0.83,0.54,3,256,1,2024-04-03,,0,0,2025-05-08 17:43:32
30256,Danielle Perez,Engineering,low,471000,0,0.74,0.51,4,114,1,2024-07-20,,0,0,2025-05-08 17:43:32
19289,Sergio Fry,Engineering,low,406000,0,0.34,0.9,4,280,3,2022-08-11,,0,0,2025-05-08 17:43:32
97530,Scott Richards,Engineering,medium,227000,0,0.78,0.95,2,257,1,2024-07-26,,1,0,2025-05-08 17:43:32
14434,Lauren Hall,Operations,medium,117000,0,0.78,0.58,4,272,3,2021-11-14,,0,0,2025-05-08 17:43:32
89696,Thomas Berry,Sales,medium,204000,0,0.82,0.84,2,272,4,2021-02-13,,0,0,2025-05-08 17:43:32
98080,Joseph Taylor,Operations,low,148000,0,0.92,0.93,2,269,3,2022-05-27,,0,0,2025-05-08 17:43:32
72482,Mark Burke,Engineering,medium,438000,0,0.61,0.58,4,106,5,2020-03-07,,0,0,2025-05-08 17:43:32
12395,Amanda Willis,HR,low,222000,1,0.17,0.42,7,307,5,2020-02-03,2025-05-06,0,0,2025-05-08 17:43:32
78397,Benjamin Graves,Engineering,medium,212000,0,0.72,0.47,4,99,3,2022-07-23,,0,0,2025-05-08 17:43:32
56302,Misty Rogers,HR,high,110000,0,0.72,0.95,5,96,1,2024-05-08,,0,0,2025-05-08 17:43:32
