employee_id,name,department,salary_level,actual_salary,turnover,satisfaction,evaluation,project_count,average_monthly_hours,years_at_company,hire_date,termination_date,work_accident,promotion,last_updated
4278,William Page,Marketing,low,155000,0,0.74,0.86,4,136,4,2021-04-15,,0,0,2025-05-08 16:39:12
98196,Joseph Rasmussen,Marketing,low,253000,0,0.75,0.59,3,121,2,2023-09-11,,0,0,2025-05-08 16:39:12
37048,Luke Gonzales,HR,low,361000,0,0.74,0.58,2,128,2,2023-10-14,,0,1,2025-05-08 16:39:12
33098,Jermaine Aguirre,Operations,medium,180000,0,0.54,0.41,4,149,0,2025-05-19,,0,0,2025-05-08 16:39:12
30256,Jennifer Hodges,Sales,high,409000,0,0.78,0.48,3,142,7,2018-06-08,,0,0,2025-05-08 16:39:12
19289,Taylor Anthony,Engineering,low,563000,0,0.7,0.92,3,132,3,2022-01-29,,0,0,2025-05-08 16:39:12
97530,Amy Perry,Sales,medium,460000,0,0.46,0.89,3,141,2,2023-07-19,,0,0,2025-05-08 16:39:12
14434,Chloe Riley,Operations,medium,123000,0,0.52,0.53,4,130,0,2025-09-18,,0,0,2025-05-08 16:39:12
89696,Susan Miller,Engineering,low,281000,0,0.75,0.41,3,139,5,2020-09-29,,0,0,2025-05-08 16:39:12
98080,Reginald Hicks,Engineering,medium,376000,0,0.51,0.45,4,142,2,2023-11-03,,0,0,2025-05-08 16:39:12
72482,Traci Werner,Legal,medium,262000,0,0.78,0.59,4,134,3,2022-10-11,,0,0,2025-05-08 16:39:12
12395,Nicholas Reed,Sales,low,387000,0,0.69,1.0,4,130,4,2021-03-24,,0,0,2025-05-08 16:39:12
78397,Christopher Brooks,Engineering,medium,261000,1,0.32,0.89,5,128,1,2024-02-12,2025-04-23,0,0,2025-05-08 16:39:12
56302,Zachary Owens,Sales,low,289000,0,0.61,0.58,2,124,2,2023-08-20,,0,0,2025-05-08 16:39:12
5165,Curtis Russell,Engineering,low,388000,0,0.65,0.49,2,126,3,2022-04-04,,0,0,2025-05-08 16:39:12
4905,Michele Vincent,Operations,low,274000,0,0.77,0.59,3,144,8,2017-04-21,,0,0,2025-05-08 16:39:12
13280,Linda Lewis,Marketing,medium,399000,0,0.86,0.98,3,127,2,2023-06-19,,0,1,2025-05-08 16:39:12
29657,Valerie Bird,Marketing,medium,327000,0,0.76,0.97,2,139,1,2024-02-05,,1,0,2025-05-08 16:39:12
31495,Dakota Hunter,Engineering,low,509000,0,0.88,0.57,2,121,3,2022-06-25,,0,0,2025-05-08 16:39:12
67237,Matthew Soto,Marketing,low,335000,1,0.32,0.42,7,282,2,2023-07-14,2025-04-18,0,0,2025-05-08 16:39:12
79907,Alex Harmon,Sales,low,276000,0,0.7,0.4,2,127,0,2025-09-01,,0,0,2025-05-08 16:39:12
4478,Cassandra Wells,Operations,low,211000,0,0.75,0.83,4,150,4,2021-09-08,,0,0,2025-05-08 16:39:12
74563,Kimberly Cunningham,Marketing,medium,279000,0,0.71,0.98,3,132,0,2025-07-26,,1,0,2025-05-08 16:39:12
27062,Donna Taylor,Engineering,low,575000,0,0.65,0.54,2,145,10,2015-01-22,,0,0,2025-05-08 16:39:12
