employee_id,name,department,salary_level,actual_salary,turnover,satisfaction,evaluation,project_count,average_monthly_hours,years_at_company,hire_date,termination_date,work_accident,promotion,last_updated
334053,Dylan Pearson MD,Sales,medium,261000,1,0.85,0.48,0,227,0,2002-01-19,2002-06-03,0,0,2025-05-14 18:43:49
246316,Patrick Cox,Engineering,medium,529000,1,0.14,0.67,1,151,0,2002-01-04,2002-05-15,0,0,2025-05-14 18:43:49
872246,Kevin Wilcox,Operations,medium,305000,1,0.22,0.56,2,157,0,2002-02-13,2002-04-05,1,0,2025-05-14 18:43:49
207473,Vincent Mcdonald,Sales,low,412000,1,0.85,0.33,0,233,0,2002-02-03,2002-07-19,0,0,2025-05-14 18:43:49
809570,Lisa Christensen,Engineering,medium,307000,1,0.76,0.41,2,202,0,2002-03-23,2002-08-07,0,0,2025-05-14 18:43:49
876646,Lisa Hart,Operations,low,148000,1,0.59,0.65,0,148,0,2002-03-21,2002-09-12,0,0,2025-05-14 18:43:49
671858,Donna Stokes,Sales,low,515000,1,0.85,0.36,1,257,0,2002-04-30,2002-10-12,0,0,2025-05-14 18:43:49
191161,Jordan Coffey,Engineering,high,424000,1,0.73,0.58,2,175,0,2002-04-18,2002-11-27,0,0,2025-05-14 18:43:49
719176,James Wheeler,Sales,medium,485000,1,0.16,0.41,0,237,0,2002-04-04,2002-03-11,0,0,2025-05-14 18:43:49
542417,Cynthia Caldwell,Sales,medium,529000,1,0.5,0.51,2,208,0,2002-05-18,2002-12-20,0,0,2025-05-14 18:43:49
133326,Samantha Jones,Sales,high,314000,1,0.88,0.98,2,185,1,2002-05-06,2003-05-20,0,0,2025-05-14 18:43:49
131244,Julia Arnold,Engineering,low,610000,1,0.74,0.5,2,275,1,2002-05-27,2003-06-26,0,0,2025-05-14 18:43:49
198246,Pamela Mccormick,Marketing,medium,307000,0,0.85,0.54,2,201,3,2002-06-04,,0,0,2025-05-14 18:43:49
329258,Michael Clark,Sales,medium,244000,0,0.89,0.48,2,261,6,2002-06-16,,0,0,2025-05-14 18:43:49
343962,Ruth Mcconnell,Engineering,medium,593000,1,0.58,0.61,2,219,0,2002-07-20,2003-07-04,0,0,2025-05-14 18:43:49
629903,Alyssa Jones,Marketing,low,323000,1,0.55,0.41,7,198,1,2002-07-29,2003-08-12,0,1,2025-05-14 18:43:49
731262,Brandon White,Engineering,high,256000,0,0.86,0.71,4,211,4,2002-08-02,,0,0,2025-05-14 18:43:49
127824,Stephen Rios,Sales,low,422000,1,0.73,0.88,2,188,1,2002-08-30,2003-09-18,0,0,2025-05-14 18:43:49
688508,Matthew Joyce,Marketing,medium,480000,1,0.79,0.46,3,243,1,2002-09-14,2003-10-14,0,0,2025-05-14 18:43:49
308496,Jenny Boyd,Sales,medium,322000,1,0.28,0.57,0,159,0,2002-10-07,2002-02-09,0,0,2025-05-14 18:43:49
850800,Edward Cooke,Engineering,low,267000,1,0.72,0.96,1,200,1,2002-11-02,2003-12-12,0,0,2025-05-14 18:43:49
781453,Andrew Santiago,Sales,low,379000,1,0.57,0.56,5,256,1,2002-11-13,2003-11-22,0,0,2025-05-14 18:43:49
